LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Rank,Index of Multiple Deprivation (IMD) Decile
E01015184,Torbay 017B,E06000027,Torbay,"19,257",6
E01015185,Torbay 017C,E06000027,Torbay,"11,161",4
E01015186,Torbay 017D,E06000027,Torbay,"4,667",2
E01015187,Torbay 017E,E06000027,Torbay,"20,676",7
E01015188,Torbay 017F,E06000027,Torbay,"15,849",5
E01015189,Torbay 017G,E06000027,Torbay,"9,051",3
E01015190,Torbay 013A,E06000027,Torbay,"6,640",3
E01015191,Torbay 013B,E06000027,Torbay,"17,574",6
E01015192,Torbay 013C,E06000027,Torbay,"6,574",3
E01015193,Torbay 013D,E06000027,Torbay,"8,794",3
E01015194,Torbay 013E,E06000027,Torbay,"6,414",2
E01015195,Torbay 013F,E06000027,Torbay,"8,882",3
E01015196,Torbay 013G,E06000027,Torbay,"1,075",1
E01015197,Torbay 016A,E06000027,Torbay,"27,353",9
E01015198,Torbay 016B,E06000027,Torbay,"22,217",7
E01015199,Torbay 016C,E06000027,Torbay,"26,577",9
E01015200,Torbay 016D,E06000027,Torbay,"17,927",6
E01015201,Torbay 016E,E06000027,Torbay,"18,678",6
E01015202,Torbay 012A,E06000027,Torbay,"16,987",6
E01015203,Torbay 012B,E06000027,Torbay,"21,635",7
E01015204,Torbay 012C,E06000027,Torbay,"8,386",3
E01015205,Torbay 012D,E06000027,Torbay,"14,765",5
E01015206,Torbay 012E,E06000027,Torbay,"7,695",3
E01015207,Torbay 019E,E06000027,Torbay,"15,246",5
E01015208,Torbay 019F,E06000027,Torbay,"30,108",10
E01015209,Torbay 019A,E06000027,Torbay,"9,751",3
E01015210,Torbay 019B,E06000027,Torbay,"5,885",2
E01015211,Torbay 019G,E06000027,Torbay,"22,071",7
E01015212,Torbay 019C,E06000027,Torbay,"7,587",3
E01015213,Torbay 019D,E06000027,Torbay,"12,830",4
E01015214,Torbay 006A,E06000027,Torbay,"2,457",1
E01015215,Torbay 006B,E06000027,Torbay,"13,440",5
E01015216,Torbay 006C,E06000027,Torbay,"5,665",2
E01015217,Torbay 008A,E06000027,Torbay,736,1
E01015218,Torbay 006D,E06000027,Torbay,"6,743",3
E01015219,Torbay 015A,E06000027,Torbay,"8,280",3
E01015220,Torbay 015B,E06000027,Torbay,"17,447",6
E01015221,Torbay 015C,E06000027,Torbay,"11,816",4
E01015222,Torbay 015D,E06000027,Torbay,"21,224",7
E01015223,Torbay 015E,E06000027,Torbay,"22,894",7
E01015224,Torbay 011A,E06000027,Torbay,"18,450",6
E01015225,Torbay 011B,E06000027,Torbay,"16,745",6
E01015226,Torbay 011C,E06000027,Torbay,"20,933",7
E01015227,Torbay 011D,E06000027,Torbay,"25,465",8
E01015228,Torbay 011E,E06000027,Torbay,"6,773",3
E01015229,Torbay 014A,E06000027,Torbay,"8,910",3
E01015230,Torbay 011F,E06000027,Torbay,"23,105",8
E01015231,Torbay 014B,E06000027,Torbay,198,1
E01015232,Torbay 014C,E06000027,Torbay,"2,210",1
E01015233,Torbay 014D,E06000027,Torbay,"2,532",1
E01015234,Torbay 014E,E06000027,Torbay,"6,356",2
E01015235,Torbay 014F,E06000027,Torbay,"9,148",3
E01015236,Torbay 002A,E06000027,Torbay,"11,715",4
E01015237,Torbay 002B,E06000027,Torbay,"14,857",5
E01015238,Torbay 002C,E06000027,Torbay,"10,152",4
E01015239,Torbay 002D,E06000027,Torbay,"5,045",2
E01015240,Torbay 005A,E06000027,Torbay,"6,657",3
E01015241,Torbay 005B,E06000027,Torbay,"10,261",4
E01015242,Torbay 005C,E06000027,Torbay,"6,458",2
E01015243,Torbay 005D,E06000027,Torbay,"16,900",6
E01015244,Torbay 018A,E06000027,Torbay,"17,185",6
E01015245,Torbay 018B,E06000027,Torbay,"8,262",3
E01015246,Torbay 018C,E06000027,Torbay,"19,171",6
E01015247,Torbay 018D,E06000027,Torbay,"11,651",4
E01015248,Torbay 018E,E06000027,Torbay,"5,974",2
E01015249,Torbay 003A,E06000027,Torbay,"8,114",3
E01015250,Torbay 003B,E06000027,Torbay,"19,610",6
E01015251,Torbay 003C,E06000027,Torbay,"24,494",8
E01015252,Torbay 003D,E06000027,Torbay,"14,862",5
E01015253,Torbay 003E,E06000027,Torbay,"20,560",7
E01015254,Torbay 003F,E06000027,Torbay,"19,720",7
E01015255,Torbay 008B,E06000027,Torbay,714,1
E01015256,Torbay 008C,E06000027,Torbay,590,1
E01015257,Torbay 004A,E06000027,Torbay,"1,026",1
E01015258,Torbay 004B,E06000027,Torbay,"12,137",4
E01015259,Torbay 004C,E06000027,Torbay,"6,297",2
E01015260,Torbay 004D,E06000027,Torbay,"1,360",1
E01015261,Torbay 008D,E06000027,Torbay,"2,972",1
E01015262,Torbay 001A,E06000027,Torbay,"5,643",2
E01015263,Torbay 001B,E06000027,Torbay,"1,839",1
E01015264,Torbay 001C,E06000027,Torbay,"20,458",7
E01015265,Torbay 001D,E06000027,Torbay,"10,655",4
E01015266,Torbay 001E,E06000027,Torbay,"1,442",1
E01015267,Torbay 010A,E06000027,Torbay,"1,702",1
E01015268,Torbay 010B,E06000027,Torbay,"9,868",4
E01015269,Torbay 010C,E06000027,Torbay,"12,122",4
E01015270,Torbay 010D,E06000027,Torbay,"7,146",3
E01015271,Torbay 010E,E06000027,Torbay,"25,509",8
